ASV_names	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12
ASV1	0	0	0	97346	0	0
ASV2	9664	4537	11082	6873	5248	7842
ASV3	0	9760	0	14768	14559	0
ASV4	9853	0	0	0	16199	0
ASV5	0	0	0	0	21445	542
ASV6	40	2883	0	14220	1192	0
ASV7	272	0	11632	0	0	5961
ASV8	6261	0	0	0	10687	0
ASV9	16109	0	0	0	0	0
ASV10	0	6644	8044	0	0	333
ASV11	0	0	0	0	14042	0
ASV12	0	0	0	14006	0	0
ASV13	0	0	0	0	0	12921
ASV14	0	0	0	0	0	12792
ASV15	0	720	11207	0	0	634
ASV16	0	0	11624	0	0	0
ASV17	0	0	7730	0	0	2477
ASV18	9830	0	0	0	0	0
ASV19	0	693	7938	0	0	618
ASV20	8710	0	0	0	0	0
ASV21	8133	0	0	0	0	0
ASV22	8063	0	0	0	0	0
ASV23	0	248	4516	0	0	3097
ASV24	0	4004	0	0	3775	0
ASV25	0	3697	0	0	4034	0
ASV26	7456	0	0	0	0	0
ASV27	0	0	7399	0	0	0
ASV28	0	0	0	0	0	7312
ASV29	0	0	0	0	0	7204
ASV30	7005	0	0	0	0	0
ASV31	0	0	0	0	0	6954
ASV32	0	0	3814	0	0	2991
ASV33	0	0	0	0	0	6738
ASV34	0	0	0	0	0	6505
ASV35	0	0	0	0	0	6272
ASV36	0	1151	3923	0	0	936
ASV37	0	5803	0	0	0	0
ASV38	0	0	4178	0	0	1467
ASV39	0	0	4149	0	0	1456
ASV40	0	0	0	0	5553	0
ASV41	327	0	0	0	5179	0
ASV42	5448	0	0	0	0	0
ASV43	0	0	3941	0	0	1435
ASV44	0	0	3823	0	0	1338
ASV45	5028	0	0	0	0	0
ASV46	302	0	0	0	4674	0
ASV47	4946	0	0	0	0	0
ASV48	4906	0	0	0	0	0
ASV49	0	0	3578	0	0	1293
ASV50	0	0	0	0	4596	0
ASV51	4548	0	0	0	0	0
ASV52	4490	0	0	0	0	0
ASV53	305	0	0	0	4109	0
ASV54	0	0	0	4398	0	0
ASV55	4276	0	0	0	0	0
ASV56	4254	0	0	0	0	0
ASV57	0	498	3696	0	0	0
ASV58	0	321	1990	0	0	1707
ASV59	592	0	3403	0	0	0
ASV60	3981	0	0	0	0	0
ASV61	0	0	0	0	3973	0
ASV62	3943	0	0	0	0	0
ASV63	0	0	3898	0	0	0
ASV64	234	0	0	0	3643	0
ASV65	0	0	0	153	3654	0
ASV66	3630	0	0	0	0	0
ASV67	0	3567	0	0	0	0
ASV68	3390	0	0	0	0	0
ASV69	3270	0	0	0	0	0
ASV70	0	3225	0	0	0	0
ASV71	0	1866	1320	0	0	0
ASV72	0	0	0	0	3182	0
ASV73	0	1857	1305	0	0	0
ASV74	0	0	0	0	3154	0
ASV75	0	0	0	0	3147	0
ASV76	0	0	0	0	3117	0
ASV77	0	3089	0	0	0	0
ASV78	3071	0	0	0	0	0
ASV79	3054	0	0	0	0	0
ASV80	3019	0	0	0	0	0
ASV81	0	2996	0	0	0	0
ASV82	2995	0	0	0	0	0
ASV83	0	0	2995	0	0	0
ASV84	0	0	0	2991	0	0
ASV85	0	0	0	0	2939	0
ASV86	0	2923	0	0	0	0
ASV87	0	0	2886	0	0	0
ASV88	0	1531	0	0	1337	0
ASV89	2804	0	0	0	0	0
ASV90	0	0	2795	0	0	0
ASV91	0	1621	1140	0	0	0
ASV92	0	1389	0	0	1311	0
ASV93	0	0	2674	0	0	0
ASV94	0	0	2673	0	0	0
ASV95	0	1399	0	0	1253	0
ASV96	0	2618	0	0	0	0
ASV97	2598	0	0	0	0	0
ASV98	0	1304	0	0	1256	0
ASV99	0	0	0	2530	0	0
ASV100	0	2454	0	0	0	0
ASV101	0	1242	0	0	1194	0
ASV102	0	1165	0	0	1264	0
ASV103	0	0	0	0	2402	0
ASV104	0	412	0	0	1966	0
ASV105	0	0	0	0	2360	0
ASV106	0	0	2332	0	0	0
ASV107	0	0	2211	0	0	0
ASV108	0	0	0	2191	0	0
ASV109	0	0	0	2190	0	0
ASV110	2170	0	0	0	0	0
ASV111	0	0	2153	0	0	0
ASV112	2125	0	0	0	0	0
ASV113	0	0	2115	0	0	0
ASV114	0	0	0	2104	0	0
ASV115	0	0	2081	0	0	0
ASV116	0	0	317	0	1479	252
ASV117	0	0	2041	0	0	0
ASV118	0	0	2040	0	0	0
ASV119	0	0	2018	0	0	0
ASV120	0	0	2005	0	0	0
ASV121	0	0	1987	0	0	0
ASV122	0	0	1986	0	0	0
ASV123	0	0	1955	0	0	0
ASV124	0	0	0	1941	0	0
ASV125	0	0	1927	0	0	0
ASV126	1926	0	0	0	0	0
ASV127	0	1917	0	0	0	0
ASV128	0	0	1908	0	0	0
ASV129	0	0	1899	0	0	0
ASV130	0	0	1877	0	0	0
ASV131	0	1872	0	0	0	0
ASV132	0	0	0	1834	0	0
ASV133	0	0	0	0	0	1834
ASV134	0	0	0	1780	0	0
ASV135	0	0	0	0	1759	0
ASV136	0	1729	0	0	0	0
ASV137	0	0	0	1729	0	0
ASV138	0	0	1704	0	0	0
ASV139	0	0	0	1682	0	0
ASV140	0	0	1676	0	0	0
ASV141	0	1594	0	0	0	0
ASV142	1454	0	0	0	0	0
ASV143	0	0	0	0	0	1441
ASV144	204	0	1234	0	0	0
ASV145	0	0	0	0	1413	0
ASV146	0	0	0	1401	0	0
ASV147	0	0	0	0	0	1389
ASV148	0	1384	0	0	0	0
ASV149	0	0	0	0	1364	0
ASV150	0	0	0	1359	0	0
ASV151	0	0	1341	0	0	0
ASV152	0	0	1334	0	0	0
ASV153	0	0	0	0	0	1285
ASV154	0	1279	0	0	0	0
ASV155	0	0	0	0	0	1278
ASV156	0	1244	0	0	0	0
ASV157	0	0	0	0	0	1189
ASV158	0	1184	0	0	0	0
ASV159	0	709	0	0	0	419
ASV160	0	627	0	0	0	496
ASV161	1108	0	0	0	0	0
ASV162	0	0	1105	0	0	0
ASV163	225	0	867	0	0	0
ASV164	0	0	0	0	1090	0
ASV165	301	0	777	0	0	0
ASV166	0	1074	0	0	0	0
ASV167	1047	0	0	25	0	0
ASV168	0	0	0	1070	0	0
ASV169	0	0	0	0	766	301
ASV170	0	606	0	0	0	454
ASV171	319	0	0	734	0	0
ASV172	0	0	0	1043	0	0
ASV173	0	0	0	0	1043	0
ASV174	0	0	1036	0	0	0
ASV175	1035	0	0	0	0	0
ASV176	0	1031	0	0	0	0
ASV177	0	0	0	1025	0	0
ASV178	0	0	0	0	0	1020
ASV179	1003	0	0	0	0	0
ASV180	0	0	364	0	0	633
ASV181	0	0	0	0	0	981
ASV182	0	0	0	0	0	975
ASV183	0	965	0	0	0	0
ASV184	0	960	0	0	0	0
ASV185	0	942	0	0	0	0
ASV186	0	0	0	941	0	0
ASV187	0	0	0	0	0	937
ASV188	0	0	925	0	0	0
ASV189	0	922	0	0	0	0
ASV190	0	0	0	0	916	0
ASV191	0	0	0	0	0	911
ASV192	0	0	0	0	0	911
ASV193	0	908	0	0	0	0
ASV194	0	887	0	0	0	0
ASV195	0	885	0	0	0	0
ASV196	0	879	0	0	0	0
ASV197	0	463	0	0	0	398
ASV198	0	839	0	0	0	0
ASV199	0	0	0	816	0	0
ASV200	0	0	0	0	816	0
ASV201	0	0	0	0	0	816
ASV202	0	812	0	0	0	0
ASV203	0	152	0	0	0	660
ASV204	0	0	0	48	752	0
ASV205	0	0	0	794	0	0
ASV206	0	0	0	0	0	774
ASV207	0	0	0	43	698	0
ASV208	0	0	736	0	0	0
ASV209	0	732	0	0	0	0
ASV210	0	0	0	714	0	0
ASV211	0	0	0	0	0	710
ASV212	0	0	0	709	0	0
ASV213	0	708	0	0	0	0
ASV214	0	707	0	0	0	0
ASV215	0	0	0	0	0	704
ASV216	0	0	699	0	0	0
ASV217	0	0	694	0	0	0
ASV218	258	0	0	0	0	419
ASV219	0	0	0	677	0	0
ASV220	0	0	0	0	0	677
ASV221	0	0	0	0	0	676
ASV222	0	0	0	0	0	675
ASV223	0	0	0	671	0	0
ASV224	0	0	0	668	0	0
ASV225	0	0	667	0	0	0
ASV226	0	0	0	0	664	0
ASV227	0	0	0	657	0	0
ASV228	0	0	655	0	0	0
ASV229	35	0	0	0	619	0
ASV230	0	637	9	0	0	0
ASV231	0	641	0	0	0	0
ASV232	0	0	0	625	0	0
ASV233	0	0	0	621	0	0
ASV234	0	0	620	0	0	0
ASV235	0	0	0	0	0	604
ASV236	0	0	0	0	0	599
ASV237	596	0	0	0	0	0
ASV238	585	0	0	0	0	0
ASV239	0	0	0	0	0	579
ASV240	0	0	0	578	0	0
ASV241	0	0	0	0	0	575
ASV242	0	0	0	574	0	0
ASV243	0	0	0	0	0	571
ASV244	0	0	0	568	0	0
ASV245	0	0	0	565	0	0
ASV246	0	0	0	565	0	0
ASV247	0	0	0	0	0	565
ASV248	0	564	0	0	0	0
ASV249	0	0	0	554	0	0
ASV250	0	0	0	549	0	0
ASV251	0	0	547	0	0	0
ASV252	239	0	0	306	0	0
ASV253	0	0	0	0	0	544
ASV254	179	251	0	0	0	112
ASV255	0	0	0	0	0	541
ASV256	536	0	0	0	0	0
ASV257	530	0	0	0	0	0
ASV258	0	0	0	0	523	0
ASV259	0	0	0	0	0	522
ASV260	0	0	453	0	66	0
ASV261	0	0	0	0	0	519
ASV262	0	0	0	517	0	0
ASV263	0	71	439	0	0	0
ASV264	0	0	0	0	0	508
ASV265	0	505	0	0	0	0
ASV266	0	0	0	504	0	0
ASV267	0	0	0	0	503	0
ASV268	0	500	0	0	0	0
ASV269	0	0	0	0	0	495
ASV270	0	486	0	0	0	0
ASV271	485	0	0	0	0	0
ASV272	0	0	0	0	0	485
ASV273	0	482	0	0	0	0
ASV274	0	0	0	0	0	477
ASV275	0	0	0	0	0	470
ASV276	0	0	0	0	0	465
ASV277	0	68	395	0	0	0
ASV278	0	462	0	0	0	0
ASV279	0	460	0	0	0	0
ASV280	0	0	0	0	0	460
ASV281	0	0	0	158	301	0
ASV282	0	454	0	0	0	0
ASV283	0	0	451	0	0	0
ASV284	0	0	0	449	0	0
ASV285	0	0	0	0	0	445
ASV286	0	439	0	0	0	0
ASV287	0	0	0	0	0	439
ASV288	0	0	0	0	0	437
ASV289	0	0	0	0	0	433
ASV290	429	0	0	0	0	0
ASV291	0	0	0	429	0	0
ASV292	0	0	0	0	0	426
ASV293	0	425	0	0	0	0
ASV294	0	424	0	0	0	0
ASV295	0	0	0	0	424	0
ASV296	0	0	0	0	0	424
ASV297	0	419	0	0	0	0
ASV298	0	419	0	0	0	0
ASV299	0	0	0	0	0	418
ASV300	0	0	417	0	0	0
ASV301	0	0	0	416	0	0
ASV302	0	0	0	0	416	0
ASV303	0	0	415	0	0	0
ASV304	0	0	0	414	0	0
ASV305	410	0	0	0	0	0
ASV306	0	0	0	0	410	0
ASV307	0	0	0	0	0	406
ASV308	0	0	0	0	0	406
ASV309	405	0	0	0	0	0
ASV310	0	401	0	0	0	0
ASV311	0	0	0	0	398	0
ASV312	396	0	0	0	0	0
ASV313	0	0	0	393	0	0
ASV314	0	0	0	0	0	393
ASV315	0	0	0	0	0	393
ASV316	0	0	0	392	0	0
ASV317	390	0	0	0	0	0
ASV318	0	0	0	0	0	384
ASV319	0	0	380	0	0	0
ASV320	0	43	336	0	0	0
ASV321	0	0	379	0	0	0
ASV322	0	0	379	0	0	0
ASV323	0	0	378	0	0	0
ASV324	0	0	0	0	0	378
ASV325	0	377	0	0	0	0
ASV326	376	0	0	0	0	0
ASV327	0	71	304	0	0	0
ASV328	0	0	375	0	0	0
ASV329	0	0	374	0	0	0
ASV330	0	0	0	0	0	366
ASV331	0	365	0	0	0	0
ASV332	0	365	0	0	0	0
ASV333	0	81	282	0	0	0
ASV334	0	362	0	0	0	0
ASV335	0	0	0	362	0	0
ASV336	360	0	0	0	0	0
ASV337	0	0	0	0	356	0
ASV338	0	0	354	0	0	0
ASV339	0	0	354	0	0	0
ASV340	0	0	0	0	353	0
ASV341	0	350	0	0	0	0
ASV342	0	0	350	0	0	0
ASV343	0	0	349	0	0	0
ASV344	0	0	0	0	346	0
ASV345	0	0	344	0	0	0
ASV346	0	342	0	0	0	0
ASV347	0	0	339	0	0	0
ASV348	0	338	0	0	0	0
ASV349	336	0	0	0	0	0
ASV350	0	330	0	0	0	0
ASV351	0	0	0	0	0	330
ASV352	0	0	0	0	0	328
ASV353	46	0	0	0	279	0
ASV354	0	0	0	0	0	325
ASV355	0	0	0	0	323	0
ASV356	0	0	0	0	320	0
ASV357	319	0	0	0	0	0
ASV358	317	0	0	0	0	0
ASV359	0	0	315	0	0	0
ASV360	0	0	0	0	0	314
ASV361	0	0	313	0	0	0
ASV362	0	0	0	313	0	0
ASV363	0	0	0	0	0	313
ASV364	0	0	0	310	0	0
ASV365	309	0	0	0	0	0
ASV366	0	306	0	0	0	0
ASV367	305	0	0	0	0	0
ASV368	0	0	0	300	0	0
ASV369	0	298	0	0	0	0
ASV370	0	0	0	298	0	0
ASV371	297	0	0	0	0	0
ASV372	0	295	0	0	0	0
ASV373	0	0	0	0	295	0
ASV374	290	0	0	0	0	0
ASV375	0	0	0	0	0	287
ASV376	182	0	0	0	103	0
ASV377	0	0	0	285	0	0
ASV378	0	0	0	284	0	0
ASV379	0	0	0	0	284	0
ASV380	0	0	0	282	0	0
ASV381	0	0	0	281	0	0
ASV382	0	280	0	0	0	0
ASV383	0	0	0	279	0	0
ASV384	0	278	0	0	0	0
ASV385	0	0	277	0	0	0
ASV386	0	0	0	0	277	0
ASV387	0	0	0	0	0	277
ASV388	0	0	0	275	0	0
ASV389	0	0	0	0	274	0
ASV390	0	0	0	273	0	0
ASV391	271	0	0	0	0	0
ASV392	193	77	0	0	0	0
ASV393	0	0	0	0	0	267
ASV394	0	0	0	0	0	266
ASV395	265	0	0	0	0	0
ASV396	0	0	0	0	0	263
ASV397	0	0	0	0	0	262
ASV398	0	261	0	0	0	0
ASV399	0	0	0	0	0	261
ASV400	0	0	0	0	0	260
ASV401	0	0	0	0	0	257
ASV402	0	0	0	0	0	257
ASV403	0	0	0	0	256	0
ASV404	0	0	0	0	0	256
ASV405	0	0	0	255	0	0
ASV406	0	0	0	0	0	255
ASV407	0	0	0	254	0	0
ASV408	0	252	0	0	0	0
ASV409	0	0	0	0	252	0
ASV410	0	0	0	0	0	252
ASV411	0	0	0	0	0	252
ASV412	0	0	0	251	0	0
ASV413	0	0	0	0	0	250
ASV414	0	0	0	0	249	0
ASV415	95	0	0	0	153	0
ASV416	0	0	0	0	0	248
ASV417	247	0	0	0	0	0
ASV418	0	0	0	0	245	0
ASV419	0	0	0	243	0	0
ASV420	242	0	0	0	0	0
ASV421	0	0	0	242	0	0
ASV422	240	0	0	0	0	0
ASV423	0	0	0	239	0	0
ASV424	0	0	0	0	0	239
ASV425	0	0	0	0	238	0
